Set 1
   horse_3 23.88
  horse_10 23.28
   horse_5 22.35
  horse_21 21.55
  horse_20 20.9
Set 2
  horse_21 28.39
  horse_14 25.32
  horse_20 23.98
  horse_13 23.92
   horse_1 23.35
Set 3
   horse_9 29.99
   horse_6 28.83
  horse_11 27.55
  horse_13 26.13
  horse_23 24.58
Set 4
   horse_6 29.99
   horse_2 27.44
  horse_21 27.37
   horse_4 27.3
  horse_24 23.74
Set 5
   horse_6 29.8
  horse_19 29.73
   horse_1 26.75
  horse_10 24.94
  horse_12 24.75
Set 6
  horse_12 29.35
  horse_11 27.69
   horse_8 26.54
   horse_4 26.14
  horse_22 25.98
