Set 1
Horse_Name Speed in KMPH
   horse_1 4.19
   horse_2 13.30
   horse_3 23.88
   horse_4 1.30
   horse_5 22.35
   horse_6 20.25
   horse_7 5.95
   horse_8 5.27
   horse_9 6.03
  horse_10 23.28
  horse_11 6.34
  horse_12 6.54
  horse_13 12.14
  horse_14 20.22
  horse_15 3.14
  horse_16 10.26
  horse_17 15.59
  horse_18 13.65
  horse_19 5.01
  horse_20 20.90
  horse_21 21.55
  horse_22 8.80
  horse_23 8.65
  horse_24 12.84
  horse_25 8.97
Set 2
Horse_Name Speed in KMPH
   horse_1 23.35
   horse_2 22.99
   horse_3 5.70
   horse_4 12.60
   horse_5 11.15
   horse_6 10.79
   horse_7 3.26
   horse_8 22.48
   horse_9 3.01
  horse_10 7.66
  horse_11 14.75
  horse_12 8.14
  horse_13 23.92
  horse_14 25.32
  horse_15 7.08
  horse_16 11.29
  horse_17 7.77
  horse_18 15.25
  horse_19 6.97
  horse_20 23.98
  horse_21 28.39
  horse_22 0.65
  horse_23 11.12
  horse_24 10.55
  horse_25 10.86
Set 3
Horse_Name Speed in KMPH
   horse_1 6.34
   horse_2 16.19
   horse_3 6.79
   horse_4 10.10
   horse_5 12.41
   horse_6 28.83
   horse_7 19.17
   horse_8 3.40
   horse_9 29.99
  horse_10 23.61
  horse_11 27.55
  horse_12 6.37
  horse_13 26.13
  horse_14 1.52
  horse_15 8.16
  horse_16 1.53
  horse_17 22.54
  horse_18 18.27
  horse_19 2.41
  horse_20 24.57
  horse_21 14.36
  horse_22 18.05
  horse_23 24.58
  horse_24 4.95
  horse_25 23.70
Set 4
Horse_Name Speed in KMPH
   horse_1 14.64
   horse_2 27.44
   horse_3 5.79
   horse_4 27.30
   horse_5 21.97
   horse_6 29.99
   horse_7 11.51
   horse_8 0.97
   horse_9 19.77
  horse_10 11.60
  horse_11 12.11
  horse_12 10.42
  horse_13 6.92
  horse_14 15.25
  horse_15 16.86
  horse_16 23.42
  horse_17 5.75
  horse_18 14.08
  horse_19 22.84
  horse_20 22.80
  horse_21 27.37
  horse_22 2.31
  horse_23 1.97
  horse_24 23.74
  horse_25 15.76
Set 5
Horse_Name Speed in KMPH
   horse_1 26.75
   horse_2 23.78
   horse_3 24.39
   horse_4 21.06
   horse_5 1.12
   horse_6 29.80
   horse_7 3.06
   horse_8 1.08
   horse_9 13.62
  horse_10 24.94
  horse_11 12.87
  horse_12 24.75
  horse_13 14.12
  horse_14 6.28
  horse_15 1.22
  horse_16 16.40
  horse_17 12.03
  horse_18 20.52
  horse_19 29.73
  horse_20 11.56
  horse_21 21.00
  horse_22 13.59
  horse_23 13.06
  horse_24 4.05
  horse_25 6.67
Set 6
Horse_Name Speed in KMPH
   horse_1 6.39
   horse_2 1.07
   horse_3 23.28
   horse_4 26.14
   horse_5 24.78
   horse_6 16.12
   horse_7 22.77
   horse_8 26.54
   horse_9 18.21
  horse_10 21.02
  horse_11 27.69
  horse_12 29.35
  horse_13 21.32
  horse_14 3.00
  horse_15 18.20
  horse_16 18.61
  horse_17 11.45
  horse_18 25.64
  horse_19 5.19
  horse_20 1.76
  horse_21 11.28
  horse_22 25.98
  horse_23 16.64
  horse_24 19.97
  horse_25 25.21
